ファイル名,金額_税抜,金額_税,金額_税込,稟議ID,原価部門コード,原価部門名称,資産科目,資産名称,支払日,備考_経理,数量,資産番号,設置場所
180603.pdf,1680000,168000,1848000,164210,AT0403,情報システム部管轄,22:ソフトウェア仮勘定,D365追加開発 ④ ー １（AS400リプレースに伴う請求書発行機能の移管・個別請,2025/03/27,2025年4月他案件構築後併せて資産計上予定,1,01K00228,131024-001：本社
180655.pdf,1400000,140000,1540000,167470,AT0403,情報システム部管轄,22:ソフトウェア仮勘定,佐倉工場 文書管理システム追加改修対応,2025/03/25,,1,01K00224,131024-001：本社
180655.pdf,4250400,425040,4675440,151702,AT0403,情報システム部管轄,22:ソフトウェア仮勘定,佐倉工場 文書管理システム導入作業,2025/03/25,,1,01K00225,131024-001：本社
180655.pdf,2500000,250000,2750000,158731,AT0403,情報システム部管轄,22:ソフトウェア仮勘定,佐倉工場 文書管理システム HITQUAA発行管理機能オプション,2025/03/25,,1,01K00226,131024-001：本社
184583.pdf,323500,32350,355850,183594,001,事業所管轄(珠洲),6:器具備品,珠洲ESGオフィス 物置 設置,2025/05/15,,1,01003138,172057-001：珠洲ESGオフィス
184583.pdf,397000,39700,436700,180496,001,事業所管轄(本社),2:建物附属設備,7階執務室レイアウト変更,2025/05/15,,1,01003141,131024-001：本社
184583.pdf,3150000,315000,3465000,181784,001,事業所管轄(本社),2:建物附属設備,1階給湯室改修工事,2025/05/15,,1,01003142,131024-001：本社
187244.pdf,35000000,3500000,38500000,181366,ATY101,事業所管轄(本社),11:建設仮勘定,エアコンサービス(株) 本社空調設備更新工事(頭金),2025/06/11,,1,01K00234,131024-001：本社
188830.pdf,-2725800,-272580,-2998380,182364,AT0403,情報システム部管轄,21:ソフトウェア,佐倉工場 COMPANYモバイルオプション対応,2025/06/30,,1,01003144,131024-001：本社
188830.pdf,2478000,247800,2725800,182364,AT0403,情報システム部管轄,21:ソフトウェア,佐倉工場 COMPANYモバイルオプション対応,2025/06/30,WFID：188608の修正です。別添請求書赤枠内が資産計上の対象となります。お手数かけますが差し替えお願いいたします。,1,01003147,131024-001：本社
189394.pdf,342000,34200,376200,175623,AT0403,情報システム部管轄,7:少額減価償却資産,イワキ福岡アネックス新設に伴う回線敷設機器MR36 2台購入,2025/07/04,別添請求書赤枠内 376,1,経理入力,131024-001：本社
